identifier, formula, density, mass
CIFMIP,C21 H17 Co3 N1 O15,1.2507777901097883,700.1578969999999,5.333333333333333
CIJBEE,C30 H24 Co6 N4 O22,1.2463104503301252,1146.12567,6.0
CIJBIJ,C22 H23 N2 O9 Tb1,1.474765269211121,618.352324,9.0
CIJLIT,C45 H27 N2 O26 Zn4,0.8440549245031067,1273.215643,5.25
CILKOZ,C8 H7 N5 O2 Zn1,1.443983374732794,270.553832,4.0
CIRBUD,C52 H36 N8 O10 Zn2,1.0061496072554397,1063.6520300000002,5.0
CIRRED,C43 H21 Co3 N2 O14,0.7063685006939633,966.433239,4.7272727272727275
CITMAW,C60 H42 N6 O18 Sm2,1.545490043761807,1435.72743,9.0
CIWZEP,C78 H117 Mo2 N33 Ni4 O13,1.3353386591571725,2151.653881,6.666666666666667
CIWZIT,C76 H120 N32 Ni4 O16 W2,1.42863570819489,2340.427736,6.666666666666667
COBWEV,C18 H35 Cd2 N6 O19 P2,1.8686392576207302,926.2756919959999,6.0
COCDAC,C26 H16 Cl1 Mn1 N7 O4 S4,1.1953134103540235,709.100981,6.0
COCDEG,C32 H29 Cl2 Mn1 N7 O4 S4,1.3697486240268726,829.721554,6.0
CODSUL,C75 H68 Cd3 N12 O13,1.2858810649180563,1682.6601890000002,5.666666666666667
COGNAO,C42 H31 O18 P2 Zn3,1.195510680460374,1081.7740649959999,6.0
COHFEN,C56 H53 Cu12 N26 O133 P4 W36,4.069106120190828,10722.804503992,5.541666666666667
COJMOF01,C40 H24 N2 O8 Zn2,0.8651767430163899,791.3888299999999,5.0
COJMOF,C40 H24 N2 O8 Zn2,0.8651767430163899,791.3888299999999,5.0
COKRUR,C288 H176 In8 N16 O40,0.9098716615072965,5419.118184,7.0
CONBIT,C46 H34 Co2 N6 O9,0.7685621464002247,932.665285,6.0
COQTEJ,C69 H49 Mg4 N7 O30,0.84814011846684,1553.37964,6.0
CORZOA,C12 H6 Cl1 In1 N2 O4,0.7447287388634865,392.45845199999997,7.0
COTVOZ,C74 H74 Mn2 N2 O10,0.9081584180154609,1261.265938,6.0
COTYIV,C31 H25 Cu5 N38,1.045495535895833,1247.5161790000002,4.0
COWSAL,C29 H47 N3 O30 U5,2.824289304120217,2107.8314960000002,7.0
COZLUB,C10 H6 Cd1 N4,1.0113937502175292,294.59585799999996,4.0
COZMUA,C29 H24 Co2 O12,0.6768661854828101,682.361292,6.0
CUBBEI,C42 H34 O12 Zn3,0.6596414861474768,926.853934,5.333333333333333
CUBXUV,C32 H26 Co5 O26,1.2571172712694996,1121.200646,6.0
CUDBIP,C104 H88 N16 O26 Zn4,0.993952426110807,2239.427546,3.0
CUDPUO,C17 H10 N11 O6 Zn3,1.1154565803585157,660.472153,4.333333333333333
CUFDOX,C36 H12 In3 O24,0.917940392622454,1172.921652,8.0
CUFFOZ,C36 H12 In3 O24,0.9172791884136341,1172.921652,8.0
CUFFUF,C36 H12 In3 O24,0.9193188165450933,1172.921652,8.0
CUHPUR,C18 H12 Cd1 N2 O4,0.8923586210710026,432.713638,7.0
CUMLUT,C11 H13 Cd1 N1 O7,1.461407436053852,383.63791100000003,8.0
CUMMEE,C36 H18 Cd2 N6 O12 Ru1,1.074923980731725,1052.460656,6.0
CUMSAH,C84 H54 Cu6 N6 O42,0.7237983606991764,2200.622202,6.0
CUMSEL,C84 H54 Cu6 N6 O42,0.7133048381867374,2200.622202,6.0
CUQRUD,C20 H18 N6 O6 Zn2,1.053044385494254,569.154386,5.0
CUQSAK,C264 H210 Cu11 N30 O54,0.6741693186684798,5365.67793,3.8181818181818183
CUSDIE,C12 H20 B1 Cu3 F4 N9 O11,1.061288961184274,743.784094652,5.0
CUSHEG,C110 H68 Co9 N8 O35,0.9165832054545301,2592.152933,5.777777777777778
CUSHIK,C108 H66 Co9 N10 O35,0.9275713012933521,2594.1289770000003,5.777777777777778
CUSHUW,C118 H84 Co9 N8 O35,0.9551481888454394,2704.365909,5.555555555555555
CUSJAE,C104 H62 Co9 N14 O35,0.9285033981308882,2598.0810650000003,5.777777777777778
CUSJOS,C110 H68 N8 Ni9 O35,0.9351918689883301,2589.9947869999996,5.777777777777778
CUTBEA,C23 H22 Eu1 N5 O8,1.3737268915156187,648.414477,9.0
CUTBOK,C23 H22 N5 O8 Tb1,1.3992922649467006,655.3758270000001,9.0
CUWNUG,C15 H8 Cd1 N2 O4,1.35118831476187,392.649654,5.0
CUWWUO,C22 H15 Eu1 N2 O7,1.3171935341920624,571.3286360000001,9.0
CUWYIE,C22 H16 Eu1 N5 O6,1.5349128052184429,598.3572810000001,9.0
CUWZIF,C57 H45 Eu2 N7 O14,1.5558205674754007,1355.9361159999999,8.5
DABDAP,C33 H45 Cu13 I11 N12 O7,2.4558264180459686,2943.835206,4.352941176470588
DABWUA01,C32 H20 Cu2 N8 O8,0.9164788238498518,771.643364,6.0
DABWUA,C32 H20 Cu2 N8 O8,0.9275383996376154,771.643364,4.0
DACDEU,C28 H20 Na2 O24 S4 Zn2,1.1835845703999057,1045.44399856,5.0
DACDOE,C28 H22 K4 O26 S4 Zn1,1.5056263305229374,1124.492352,7.6
DACXAK,C40 H36 Co4 F2 N4 O20,1.5625965527126566,1166.459970326,6.0
DADKUR,C22 H14 Co3 N8 O12,0.8808893178725825,759.19352,4.0
DAJHOM,C216 H134 Co12 N12 O49,2.6130855064533876,4388.633543,6.0
DAJWET,C144 H90 Mg6 N12 O32,0.2962905069366309,2646.153246,6.0
DAKVOC,C37 H28 O24 Zn4,0.8705834359690727,1118.125448,5.0
DAKVUI,C37 H28 Cu4 O24,0.8827584695621498,1110.789448,5.0
DAKXIA,C75 H39 Cu6 N21 O27,0.8100974125337959,2047.5158969999998,5.0
DAKZUN,C27 H17 O7 Tb1,1.1162459284576944,612.346162,8.0
DALJUZ,C130 H78 Ce6 N9 O58 P9,0.9935301929163575,3813.501272982,8.333333333333334
DALKAG,C130 H78 N9 O58 P9 Sm6,1.0211595013738477,3874.965272982,8.333333333333334
DALKEK,C130 H78 Eu6 N9 O58 P9,1.027163422386971,3884.589272982,8.333333333333334
DALSUH,C15 H12 Dy1 N1 O11,1.4959438856188576,544.75655,8.0
DAPHOU,C32 H20 N4 O20 Zn4,0.84404520858168,1042.037412,5.0
DAPYAW,C108 H68 Cd5 O28,1.1046262374634357,2375.753248,6.4
DAQMAM,C54 H46 Br4 N6 O2 Zn2,0.6743344779054011,1261.358274,4.0
DARCUW,C43 H25 O16 P2 Yb2,1.197002299598687,1205.706348996,8.0
DARDAD,C43 H25 Lu2 O16 P2,1.1950022968800076,1209.531948996,8.0
DARDEH,C43 H25 O16 P2 Sm2,1.1000159751147502,1160.318348996,8.0
DARDUX,C43 H25 O16 P2 Tb2,1.1285558351203153,1177.449048996,8.0
DARFAF,C43 H25 Dy2 O16 P2,1.135408375039005,1184.598348996,8.0
DARFEJ,C43 H25 Ho2 O16 P2,1.1678580810411063,1189.459008996,8.0
DARFIN,C43 H25 Er2 O16 P2,1.1766473440158838,1194.116348996,8.0
DARFOT,C43 H25 O16 P2 Tm2,1.1847929585551178,1197.466788996,8.0
DARQOF,C60 H65 N11 O21 Zn4,1.0058409595758535,1537.741803,4.5
DASHAK,C55 H35 Ag2 F3 N11 O7 S1 Sn1,1.141095573287729,1385.444612489,4.0
DASTEY01,C52 H32 N2 O40 Zn6,1.3009534021687703,1717.082198,5.0
DAWCIP,C44 H30 O15 Zn4,1.0304031474596522,1060.221865,4.5
DAWCOV,C44 H30 Mn3 O14,1.0154320949605424,947.516592,6.0
DAYNIE,C32 H18 N2 O8 S4 Zn2,1.0947743940944332,817.5144639999999,5.0
