Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
pokdif01_P1_H,3.86E-07,1.00E-14,3.86E-07,1.00E-14,3.86E-07,1.00E-14,-0.000329425,,-0.000693224,0,-4.2569E-06,0
ponres_P1_H,6.61E-07,0,6.61E-07,1.42E-14,6.61E-07,2.01E-14,-0.000311528,,-0.000655563,0,-4.0255E-06,0
qabvew_P1,3.96E-07,1.00E-14,3.96E-07,1.00E-14,3.96E-07,1.74E-14,-0.000402535,,-0.000847073,0,-5.2015E-06,0
puggop_P1_H,3.91E-07,1.00E-14,3.91E-07,0,3.91E-07,1.00E-14,-0.0002453,,-0.000516196,0,-3.1697E-06,0
qacgag_P1,4.77E-07,0,4.77E-07,0,4.77E-07,2.01E-14,-0.000275707,,-0.000580183,0,-3.5628E-06,0
pudsud_P1,3.26E-07,1.23E-14,3.26E-07,7.11E-15,3.25E-07,7.11E-15,-0.000239521,,-0.000504035,0,-3.0953E-06,0
purqoj_P1,4.77E-07,1.00E-14,4.77E-07,1.00E-14,4.77E-07,1.42E-14,-0.000550478,,-0.001158397,0,-7.1132E-06,0
pufvuj_P1,2.43E-07,1.23E-14,2.43E-07,7.11E-15,2.43E-07,7.11E-15,-0.000139649,,-0.000293869,0,-1.8051E-06,0
posgov_P1,3.81E-07,1.00E-14,3.81E-07,1.00E-14,3.81E-07,0,-0.00023064,,-0.000485347,0,-2.9806E-06,0
qalxua_P1_charged,4.44E-07,1.00E-14,4.44E-07,1.00E-14,4.44E-07,1.00E-14,-0.000153491,,-0.000322997,0,-1.9833E-06,0
pukvau_P1_H,3.05E-07,1.00E-14,3.05E-07,0,3.05E-07,1.00E-14,-0.000213888,,-0.000450095,0,-2.7636E-06,0
qacwea_P1_charged_H,4.97E-07,1.42E-14,4.97E-07,1.42E-14,4.97E-07,0,-0.000270568,,-0.000569369,0,-3.4962E-06,0
pixdim_P1_H,4.25E-07,0,4.25E-07,1.00E-14,4.25E-07,1.42E-14,-0.000211363,,-0.00044478,0,-2.7312E-06,0
pudsir_P1,3.08E-07,0,3.08E-07,1.00E-14,3.08E-07,1.00E-14,-0.000250783,,-0.000527734,0,-3.2406E-06,0
pokdif_P1_H,3.88E-07,1.00E-14,3.88E-07,0,3.88E-07,1.00E-14,-0.000327463,,-0.000689096,0,-4.2316E-06,0
pugsuh_P1_charged,4.69E-07,1.00E-14,4.69E-07,1.00E-14,4.69E-07,0,-0.000330882,,-0.000696291,0,-4.2756E-06,0
pugsiv_P1_charged,4.69E-07,0,4.69E-07,1.42E-14,4.69E-07,1.42E-14,-0.00033899,,-0.000713353,0,-4.3803E-06,0
puzlaz_P1_H,3.49E-07,1.42E-14,3.49E-07,0,3.49E-07,1.00E-14,-0.000331506,,-0.000697604,0,-4.2837E-06,0
puqyac_P1,2.69E-07,0,2.69E-07,7.11E-15,2.69E-07,0,-0.00015766,,-0.00033177,0,-2.0377E-06,0
pobyah_P1_H,1.29E-07,0,1.29E-07,0,1.29E-07,0,-0.00029822,,-0.000627559,0,-3.8536E-06,0
pitpep_P1,4.07E-07,1.00E-14,4.07E-07,1.42E-14,4.07E-07,1.00E-14,-0.000285485,,-0.00060076,0,-0.000003689,0
purqup_P1,4.65E-07,1.42E-14,4.65E-07,1.00E-14,4.65E-07,1.00E-14,-0.000375589,,-0.00079037,0,-4.8532E-06,0
pusxil01_P1_charged,3.32E-07,7.11E-15,3.32E-07,1.00E-14,3.32E-07,7.11E-15,-0.000122055,,-0.000256847,0,-1.5771E-06,0
qalxou_P1_charged_H,4.32E-07,0,4.32E-07,1.42E-14,4.32E-07,0,-0.000152203,,-0.000320287,0,-1.9667E-06,0
pobgoe01_P1,7.37E-07,2.01E-14,7.37E-07,2.01E-14,7.37E-07,2.01E-14,-0.000157577,,-0.000331597,0,-2.0361E-06,0
piwlal_P1,5.78E-07,1.42E-14,5.78E-07,0,5.78E-07,0,-0.000189645,,-0.000399078,0,-2.4505E-06,0
podcuj_P1_H,5.00E-07,0,5.00E-07,2.01E-14,5.00E-07,0,-0.000196906,,-0.000414358,0,-2.5445E-06,0
pusxil_P1_charged_H,3.40E-07,1.00E-14,3.40E-07,0,3.40E-07,0,-0.000122549,,-0.000257886,0,-1.5837E-06,0
puzlus_P1,8.75E-07,2.01E-14,8.75E-07,0,8.75E-07,0,-0.000298851,,-0.000628886,0,-3.8617E-06,0
qamveh01_P1_H,3.95E-07,0,3.95E-07,0,3.95E-07,1.00E-14,-0.000329697,,-0.000693796,0,-4.2603E-06,0
puxduk_P1,4.06E-07,1.74E-14,4.06E-07,0,4.06E-07,1.00E-14,-0.000362333,,-0.000762475,0,-4.6822E-06,0
podkok_P1_H,7.87E-07,2.01E-14,7.87E-07,2.01E-14,7.87E-07,2.01E-14,-0.000125155,,-0.00026337,0,-1.6172E-06,0
qalxua01_P1_charged,3.72E-07,0,3.72E-07,1.00E-14,3.72E-07,0,-0.000183112,,-0.000385331,0,-2.3665E-06,0
puddok_P1,5.25E-07,0,5.25E-07,1.42E-14,5.25E-07,0,-0.000185161,,-0.000389642,0,-2.3925E-06,0
pizjaj_P1_charged_H,7.66E-07,2.84E-14,7.66E-07,2.01E-14,7.65E-07,0,-0.000180389,,-0.000379602,0,-2.3309E-06,0
