Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
elijoz_P1_H,2.51681e-07,7.10543e-15,2.51713e-07,0,2.51652e-07,0,-0.0002872367,,-0.0006044454,0.0000000000,-0.0000037114,0.0000000000
equnip_P1_charged_H,4.42922e-07,1.42109e-14,4.42943e-07,0,4.42903e-07,1.42109e-14,-0.0001067266,,-0.0002245901,0.0000000000,-0.0000013791,0.0000000000
elikeq_P1_H,2.46963e-07,1.00486e-14,2.46995e-07,7.10543e-15,2.46935e-07,7.10543e-15,-0.0002902050,,-0.0006106919,0.0000000000,-0.0000037503,0.0000000000
ehijah_P1,1.04825e-06,0,1.0483e-06,0,1.0482e-06,0,-0.0001162967,,-0.0002447287,0.0000000000,-0.0000015028,0.0000000000
elubof_P1_charged,3.12015e-07,1.00486e-14,3.12061e-07,1.00486e-14,3.11973e-07,7.10543e-15,-0.0003322745,,-0.0006992203,0.0000000000,-0.0000042935,0.0000000000
elohoe_P1,3.43715e-07,0,3.43735e-07,1.00486e-14,3.43697e-07,1.42109e-14,-0.0001308942,,-0.0002754446,0.0000000000,-0.0000016916,0.0000000000
ekolau_P1_H,5.1088e-07,0,5.11001e-07,2.00972e-14,5.10773e-07,0,-0.0005280248,,-0.0011111476,0.0000000000,-0.0000068231,0.0000000000
ekokun_P1_H,5.13754e-07,0,5.13874e-07,0,5.13647e-07,1.42109e-14,-0.0005235484,,-0.0011017276,0.0000000000,-0.0000067653,0.0000000000
erociz_P1_charged,7.87274e-07,0,7.8732e-07,2.84217e-14,7.87232e-07,2.00972e-14,-0.0001328797,,-0.0002796250,0.0000000000,-0.0000017171,0.0000000000
etetab_P1_charged_H,2.83037e-07,7.10543e-15,2.83072e-07,0,2.83006e-07,7.10543e-15,-0.0002768040,,-0.0005824922,0.0000000000,-0.0000035770,0.0000000000
enatuj_P1_charged,4.65811e-07,1.00486e-14,4.65836e-07,1.00486e-14,4.65789e-07,1.00486e-14,-0.0001199590,,-0.0002524354,0.0000000000,-0.0000015500,0.0000000000
episom_P1_H,5.66133e-07,0,5.66173e-07,1.42109e-14,5.66097e-07,1.42109e-14,-0.0001591685,,-0.0003349461,0.0000000000,-0.0000020567,0.0000000000
