,Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
2024,qowrav08_P1_H,4.88196e-06,2.40127e-08,2.30621e-05,1.38035e-07,3.68033e-07,6.81404e-10,-11.6716674193,,-16.9310763157,0.0354200274,-1.4055081506,0.0044141918
2025,qegnoh_P1,4.68199e-06,7.17413e-08,4.00475e-05,7.777e-07,7.57499e-08,1.00617e-09,-17.7842755022,,-23.5046352725,0.0221617211,-2.9128135608,0.012532311
2026,qaqnoo01_P1_H,2.72491e-06,9.85777e-09,9.85029e-06,7.20483e-08,3.00821e-07,5.03082e-10,-9.2569375344,,-13.3841559087,0.0353758861,-1.2962187379,0.0099063299
2027,qotlod03_P1_charged_H,4.3656e-06,1.51048e-08,1.02533e-05,8.05884e-08,1.08922e-06,6.81509e-10,-6.5209166916,,-9.7410080614,0.0177796481,-0.681974703,0.0043863461
2028,qedhug_P1,1.95505e-06,1.16451e-08,6.53563e-06,6.70921e-08,1.80413e-07,4.3985e-10,-9.3811015166,,-12.8544548595,0.0267321501,-1.4726283794,0.0072947366
2029,qoflaa_P1,3.54467e-06,4.31311e-08,1.95787e-05,2.36019e-07,1.42166e-07,5.25098e-10,-12.1960389823,,-16.7673024555,0.0366204085,-1.921310181,0.005904666
2030,qotkoc02_P1_charged_H,4.45213e-06,1.32746e-08,1.09401e-05,1.46958e-07,1.04816e-06,1.57495e-09,-6.913832074,,-10.4324331224,0.056987576,-0.6992674539,0.0068268256
2031,qotbot_P1_charged,5.95864e-06,2.93525e-08,3.87943e-05,6.50704e-07,1.88252e-07,1.46086e-09,-14.2465721673,,-20.0844884798,0.030743573,-2.1252013242,0.0058381064
2032,qawhih01_P1,4.37911e-06,1.84726e-08,3.00893e-05,2.41267e-07,1.15483e-07,5.46018e-10,-14.2030110671,,-19.2231720712,0.0303370296,-2.3252096374,0.0127411668
2033,qodjif_P1,6.97879e-06,3.69876e-08,4.34726e-05,8.04064e-07,1.63085e-07,8.80987e-10,-15.2789473048,,-20.1515348476,0.0491345674,-2.4470780152,0.0103273303
2034,qowrav04_P1_H,4.85713e-06,6.14316e-08,2.26386e-05,3.00361e-07,3.6855e-07,1.16784e-09,-11.6448606811,,-16.8525976455,0.0554714498,-1.3983555022,0.0132454828
